п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"91422";"Аптека ""Планета Здоровья""";"МО, г. Одинцово , Можайское шоссе, д. 71 Б";"Одинцово";"Гранит";"Пряшников Д.Ю.";"М";"55.6773483";"37.2799671";"07.05.2025";"https://durnovcev2000.kaiten.ru/32511995"
"93048";"Аптека ""Планета ЗДОРОВЬЯ""";"МО, г. Одинцово , Можайское шоссе д.87";"Одинцово";"Гранит";"Пряшников Д.Ю.";"М";"55.6799239";"37.285237";"07.05.2025";"https://durnovcev2000.kaiten.ru/32512007"
"130287";"аптека ""Планета Здоровье"", ООО ""ВЕРБЕНА""";"г. Одинцово, ул. Сколковская, д. 1 Б";"Одинцово";"Гранит";"-";"М";"55.695021";"37.3244185";"07.05.2025";"https://durnovcev2000.kaiten.ru/32511961"
"ТО-279";"ИП Цветков Александр Валерьевич/Пекарня-кондитерская «ЛАКМА»";"Московская обл, Одинцовский р-н, Одинцово г, Маршала Жукова ул, дом № 26";"Одинцово";"Технологии Безопасности";"Чиграй А.С.";"М";"55.6794192";"37.2605422";"07.05.2025";"https://durnovcev2000.kaiten.ru/32511952"
"138341";"ИП Колесников Евгений Игоревич (Барбершоп Черная Кость)";"Московская обл, Солнечногорский р-н, деревня Голубое, Парковый б-р, дом 7, подъезд 1щ.";"Одинцово";"Эсток-Сервис";"Сафин М.С.";"КВ";"55.97842989999999";"37.096353";"07.05.2025";"https://durnovcev2000.kaiten.ru/33681367"
"132943";"ИП Черевань Алла Шамильевна";"Московская обл, г. Люберцы, ул. Преображенская, д. 13, пом. 12";"Одинцово";"Гранит";"Сергеев Н.Р.";"КВ";"55.683331";"37.9103177";"06.05.2025";"https://durnovcev2000.kaiten.ru/32562245"
"136938";"Стоматологический центр «Династия М»)";"Москва г, Дубравная ул, дом № 36";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8438292";"37.3558271";"06.05.2025";"https://durnovcev2000.kaiten.ru/33681302"
"131996";"ООО ""Аджента""/ аптека Планета Здоровья";"Москва г, Алтуфьевское ш, дом № 88";"Одинцово";"Гранит";"Пряшников Д.Ю.";"КВ";"55.8838637";"37.5872482";"06.05.2025";"https://durnovcev2000.kaiten.ru/33668903"
"137019";"ООО «АЛТУФЬЕВО К» (Гастромаркет ""ЕДА"")";"Москва г, ш Алтуфьевское, д. 80";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.89433099999999";"37.5881681";"06.05.2025";"https://durnovcev2000.kaiten.ru/33668868"
"137536";"ООО ""Аптека экономия 2""/Аптека ""ФармЛенд""";"Москва,ул.Мурановская,7";"Одинцово";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.89225";"37.597372";"06.05.2025";"https://durnovcev2000.kaiten.ru/40906399"
